"Sigla","Cod_provincia_ISTAT","nM","mV","nF","fV","vr","logvr","sesso","minn","SE","Coort","Year","Grade","gamlssSE","Regioni","Provincia","TassoOccup_MeanM","TassoOccup_MeanF","TassoOccup_MeanT","ValAgg_Mean","AmmDonne_X2009","AmmDonne_X2010","AmmDonne_X2011","AmmDonne_X2012","AmmDonne_X2013","AmmDonne_X2014","AmmDonne_X2015","AmmDonne_X2016","AmmDonne_X2017","AmmDonne_X2018","AmmDonne_X2019","AmmDonne_X2020","AmmDonne_X2021","AmmDonne_X2022","AmmDonne_Mean","Filter"
"TO",1,6880,2676.88210594278,6707,3059.75715247402,0.874867505016971,-0.133682826927865,0.0595130565195753,6707,0.0244211348923824,17,1516,10,0.298142396999972,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9096,1611.75027613257,8516,1654.02323554523,0.974442342462786,-0.0258899280621999,0.473762396992834,8516,0.0216726575764384,10,1819,2,0.134929211398838,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8898,1465.39812694869,8567,1452.43074585248,1.00892805466508,0.00888843522674909,-0.0461856770423926,8567,0.0216080517959451,4,1516,5,0.0542363679664143,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8782,1696.70130321543,8568,1359.42377964458,1.24810329833941,0.221625037627192,1.18164815859628,8568,0.0216067907850721,6,2223,10,0.0545174256122506,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8804,1840.29082636853,8408,1861.90562927776,0.988391031978558,-0.0116768781802346,0.443005446903459,8408,0.0218114051119841,6,1415,2,0.0492735763231057,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9391,1580.85699784884,9038,1543.60202225454,1.02413509120692,0.0238484429227357,0.19014909604538,9038,0.0210374853797745,18,1415,8,0.0465856048085268,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8353,1506.38150119705,8237,1264.43990860218,1.19134289494416,0.17508115401131,0.973257287521259,8237,0.0220366443522189,1,1718,10,0.0126357625905442,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8482,1581.80659088115,8178,1370.25582870599,1.15438778492549,0.143570147102666,0.290045808988381,8178,0.0221159929362414,18,1213,6,0.0513195077466135,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9188,1507.6620803244,8893,1647.62503674258,0.915051693621448,-0.0887747195412957,0.34592019201233,8893,0.0212082995832602,9,1718,2,0.0153628566286497,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,6589,1667.48391167384,7271,1432.65188609423,1.16391422637904,0.151788657916305,0.927758796202539,6589,0.0246388391240925,1,2021,13,0.100663257194779,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
