"Sigla","Cod_provincia_ISTAT","nM","mV","nF","fV","vr","logvr","sesso","minn","SE","Coort","Year","Grade","gamlssSE","Regioni","Provincia","TassoOccup_MeanM","TassoOccup_MeanF","TassoOccup_MeanT","ValAgg_Mean","AmmDonne_X2009","AmmDonne_X2010","AmmDonne_X2011","AmmDonne_X2012","AmmDonne_X2013","AmmDonne_X2014","AmmDonne_X2015","AmmDonne_X2016","AmmDonne_X2017","AmmDonne_X2018","AmmDonne_X2019","AmmDonne_X2020","AmmDonne_X2021","AmmDonne_X2022","AmmDonne_Mean","Filter"
"TO",1,10166,1624.9332520442,9499,1396.99607769194,1.16316235814266,0.151142466667123,0.638545165993472,9499,0.0205206471041846,8,2223,8,0.123049757975597,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9392,1811.96405861118,9043,1571.63173721099,1.1529189794975,0.142296969518268,1.82921798408469,9043,0.02103166861704,18,1415,8,0.0466120396075575,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,10194,1712.11554098617,9572,1486.85914346808,1.15149814191053,0.141063826652053,0.288189673141499,9572,0.020442247904112,7,2122,8,0.190905769393499,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9141,1595.8926413895,8549,1486.81631024107,1.07336234503019,0.0707961000541505,0.701920559907236,8549,0.0216307878127759,10,1819,2,0.137385020561355,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8275,1715.49174179356,8188,1400.2848961994,1.22510193921943,0.203024056223785,0.703634873154779,8188,0.0221024836851268,1,1718,10,0.0126387936271381,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9363,1929.59324857263,8943,1721.48496187448,1.12088882058635,0.114121960390352,2.46761414114702,8943,0.0211489290519574,6,1415,2,0.0478091755957043,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8275,1775.03068478438,8163,1562.61279642353,1.13593763525234,0.1274584202465,1.92558043717455,8163,0.0221363033390306,11,2223,5,0.0868682870257042,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9169,1716.56414590676,8710,1617.37819926793,1.06132514132051,0.0595182606791956,3.31744751057153,8710,0.0214299381773963,5,1314,2,0.047410465593076,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,10149,1680.685525044,9570,1441.3522212155,1.1660477573113,0.153620045332504,0.988946889999489,9570,0.020444383868582,6,2021,8,0.208610926172429,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9441,1861.55309394089,8844,1611.53470080672,1.15514304036333,0.14422418077608,0.583358427583419,8844,0.0212669705029557,8,1617,2,NA,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"VC",2,535,2513.65245940411,529,2700.81327712363,0.930702052117113,-0.0718160828749778,1.19244351517508,529,0.0869565217391304,14,2223,2,0.306186217847897,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,619,1491.53295160888,689,1402.65125172965,1.06336692728832,0.0614402206907086,0.676302002080196,619,0.0803867871058141,15,1213,8,0.182574185835055,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,693,1370.6594005988,641,1237.65322380779,1.10746643262626,0.10207491333675,0.0718674540959151,641,0.0789952505533364,3,1718,8,0.0675737378399486,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,613,1664.58413997515,571,1596.01169965299,1.04296487321307,0.0420674968446611,1.01647722113475,571,0.0836973950637374,10,1819,2,NA,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,678,2105.22705205373,639,2026.8204769509,1.0386845189273,0.0379550268633815,0.678091665738224,639,0.0791187772129236,6,1415,2,NA,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,598,1361.93046851716,633,1136.16586943035,1.19870742922422,0.181243833946105,2.04672289856931,598,0.0817860820109531,7,1819,5,0.566946709513841,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,759,1734.36565942074,748,1790.38668741053,0.968710095766619,-0.031789890629688,-0.326067540088471,748,0.0731272424127131,15,1415,10,0.119718479494664,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,572,1591.05706328028,528,1270.15525239971,1.25264770607711,0.225259476027482,0.0223829042394275,528,0.0870388279778489,13,2122,2,0.291491544065069,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,613,2047.77221544029,605,1966.30872673865,1.04142965323495,0.0405944357362712,-0.608596475515821,605,0.0813115628181742,5,1617,5,NA,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
